id_wikidata	materia
Q146924	Historia
Q1469987	Literatura
Q147276	Lengua española
Q1473417	Literatura
Q1475560	Lengua española
Q147572	Matemática
Q14763008	Biología
Q1479995	Comunicación y sociedad
Q148	Geografía
Q148540	Historia
Q148836	Historia
Q148837	Historia
Q14890574	Ciencias del ambiente
Q148993	Geografía
Q14947899	Historia
Q149537	Literatura
Q1496	Historia
Q15	Geografía
Q1502460	Lengua española
Q1502853	[NULL]
Q150611	Historia
Q150642	Historia
Q1507074	Historia
Q150812	Historia
Q1508721	Ciencias de la computación
Q1509757	Matemática
Q15098088	Historia
Q1509829	Lengua española
Q151047	Comunicación visual y diseño
Q151060	Historia
Q151090	Historia
Q151340	Historia
Q15140913	Matemática
Q15140974	Historia
Q15141402	[NULL]
Q15141478	Comunicación y sociedad
Q1517200	Comunicación y sociedad
Q1517385	Historia
Q1517519	Literatura
Q151803	Comunicación visual y diseño
Q152	Biología
Q1520033	Lengua española
Q15212432	Historia
Q1522115	Comunicación y sociedad
Q15221996	Literatura
Q152415	Matemática
Q152509	Comunicación visual y diseño
Q152989	Historia
Q1530280	Biología
Q153034	Comunicación y sociedad
Q15316	Ciencias del ambiente
Q153232	Comunicación y sociedad
Q153650	Historia
Q153660	Historia
Q153670	Literatura
Q153688	Historia
Q153793	Comunicación visual y diseño
Q15402102	Literatura
Q1541	Comunicación y sociedad
Q1541064	Biología
Q154278	Historia
Q154340	Comunicación visual y diseño
Q154439	Historia
Q154611	Literatura
Q154720	Historia
Q154751	Comunicación y sociedad
Q154756	Literatura
Q154764	Historia
Q154954	Comunicación y sociedad
Q154959	Comunicación y sociedad
Q155	Geografía
Q1550557	Historia
Q155076	Comunicación y sociedad
Q155640	Ciencias del ambiente
Q155972	Ciencias de la computación
Q156	Química
Q156312	Historia
Q156733	Historia
Q1569011	Geografía
Q156986	[NULL]
Q157002	Matemática
Q1570124	Historia
Q1570397	Historia
Q1570510	Historia
Q15733698	Historia
Q157648	Historia
Q15777	Ciencias de la computación
Q15790	Comunicación visual y diseño
Q15792	Comunicación visual y diseño
Q158579	Ciencias del ambiente
Q158688	Matemática
Q15890801	Historia
Q159	Geografía
Q15912661	Historia
Q159226	Química
Q159297	Comunicación visual y diseño
Q159462	Biología
Q159719	Tecnología
Q15975	Comunicación y sociedad
Q159758	Comunicación visual y diseño
Q15978631	Historia
Q159810	Comunicación y sociedad
